component,skill
ablation-study,elsevier-ablation-study
abstract,elsevier-abstract
abstract-keywords,elsevier-abstract-keywords
ai-disclosure-integrity,elsevier-ai-disclosure-integrity
algorithm-pseudocode,elsevier-algorithm-pseudocode
appendix,elsevier-appendix
author-agreement,elsevier-author-agreement
author-contribution,elsevier-author-contribution
baseline-selection,elsevier-baseline-selection
caption,elsevier-caption
checklist-risk-register,elsevier-checklist-risk-register
citation,elsevier-citation
competing-interest,elsevier-competing-interest
conclusion,elsevier-conclusion
contribution-positioning,elsevier-contribution-positioning
copyright-license,elsevier-copyright-license
cover-letter,elsevier-cover-letter
cover-letter-fit-statement,elsevier-cover-letter-fit-statement
crediT-author-statement,elsevier-crediT-author-statement
data-availability,elsevier-data-availability
data-code-availability,elsevier-data-code-availability
dataset-protocol,elsevier-dataset-protocol
declaration-package,elsevier-declaration-package
declarations,elsevier-declarations
discussion,elsevier-discussion
editorial-screening,elsevier-editorial-screening
equation,elsevier-equation
ethics-limitations,elsevier-ethics-limitations
experimental-design,elsevier-experimental-design
figure,elsevier-figure
figure-table,elsevier-figure-table
final-production-files,elsevier-final-production-files
funding-acknowledgment,elsevier-funding-acknowledgment
graphical-abstract,elsevier-graphical-abstract
graphical-abstract-brief,elsevier-graphical-abstract-brief
graphical-abstract-file,elsevier-graphical-abstract-file
highlights,elsevier-highlights
highlights-line-edit,elsevier-highlights-line-edit
introduction,elsevier-introduction
introduction-related-work,elsevier-introduction-related-work
journal-router,elsevier-journal-router
keywords,elsevier-keywords
latex-template-audit,elsevier-latex-template-audit
limitations,elsevier-limitations
method-details,elsevier-method-details
method-experiment,elsevier-method-experiment
metrics-evaluation,elsevier-metrics-evaluation
official-source-audit,elsevier-official-source-audit
open-access-decision,elsevier-open-access-decision
permission-reuse,elsevier-permission-reuse
polishing,elsevier-polishing
preprint-prior-publication,elsevier-preprint-prior-publication
problem-formulation,elsevier-problem-formulation
proof-correction,elsevier-proof-correction
reference-integrity,elsevier-reference-integrity
related-work,elsevier-related-work
research-data-statement,elsevier-research-data-statement
response,elsevier-response
results-reporting,elsevier-results-reporting
reviewer,elsevier-reviewer
reviewer-response-matrix,elsevier-reviewer-response-matrix
revision-diff,elsevier-revision-diff
revision-strategy,elsevier-revision-strategy
statistical-reporting,elsevier-statistical-reporting
statistical-significance,elsevier-statistical-significance
submission-highlights-file,elsevier-submission-highlights-file
submission-metadata,elsevier-submission-metadata
submission-package,elsevier-submission-package
supplementary-files,elsevier-supplementary-files
table,elsevier-table
template-paper-miner,elsevier-template-paper-miner
theory-proof,elsevier-theory-proof
title-author-metadata,elsevier-title-author-metadata
visual-accessibility,elsevier-visual-accessibility
writing,elsevier-writing
