name,kind,family,version,path,scope
ieee-ablation-study,core,ieee,0.5.0,skills/ieee-ablation-study,"ablation design, component-level evidence, sensitivity analysis, and mechanism validation."
ieee-abstract,core,ieee,0.5.0,skills/ieee-abstract,"abstract drafting, compression, claim discipline, and contribution evidence alignment."
ieee-abstract-index-terms,core,ieee,0.5.0,skills/ieee-abstract-index-terms,"abstract compression, contribution density, index term hygiene."
ieee-access-writing,journal-adapter,ieee,0.5.0,skills/ieee-access-writing,"multidisciplinary open-access IEEE articles with clear contribution, validation, and broad technical relevance."
ieee-acknowledgment-first-footnote,core,ieee,0.5.0,skills/ieee-acknowledgment-first-footnote,"IEEE acknowledgments, funding first-footnote handling, AI disclosure placement, and author-note consistency."
ieee-ai-disclosure-integrity,core,ieee,0.5.0,skills/ieee-ai-disclosure-integrity,"transparent AI-assisted writing, plagiarism avoidance, citation integrity, and author-responsibility reminders."
ieee-algorithm-pseudocode,core,ieee,0.5.0,skills/ieee-algorithm-pseudocode,"algorithm boxes, pseudocode, complexity notes, and stepwise method communication."
ieee-appendix,core,ieee,0.5.0,skills/ieee-appendix,"appendices, extended derivations, extra tables, and material that should not interrupt the main paper."
ieee-artifact-availability,core,ieee,0.5.0,skills/ieee-artifact-availability,"code, data, model, environment, reproducibility package, and artifact statement preparation."
ieee-author-agreement,core,ieee,0.5.0,skills/ieee-author-agreement,"publishing agreement readiness, author rights reminders, copyright form/license route, and post-acceptance decisions."
ieee-author-contribution,core,ieee,0.5.0,skills/ieee-author-contribution,"author contribution statements, accountability, approval, and corresponding-author coordination."
ieee-baseline-selection,core,ieee,0.5.0,skills/ieee-baseline-selection,"baseline choice, reimplementation fairness, hyperparameter disclosure, and comparison scope."
ieee-caption,core,ieee,0.5.0,skills/ieee-caption,"figure and table captions, legends, abbreviation expansion, symbol explanation, and standalone interpretability."
ieee-checklist-risk-register,core,ieee,0.5.0,skills/ieee-checklist-risk-register,"pre-submission checklist, reviewer-risk register, desk-rejection risk, and issue prioritization."
ieee-citation,core,ieee,0.5.0,skills/ieee-citation,citation placement and bibliography-risk audit.
ieee-competing-interest,core,ieee,0.5.0,skills/ieee-competing-interest,"competing-interest declarations, editorial role conflicts, financial relationships, and disclosure completeness."
ieee-component-router,router,ieee,0.5.0,skills/ieee-component-router,"detect manuscript components such as table, figure, caption, related work, method, experiment, ablation, references, declarations, and route them to the correct component skills. Use for IEEE Transactions, Journals, Letters, and IEEE-style technical journal writing."
ieee-conclusion,core,ieee,0.5.0,skills/ieee-conclusion,"conclusion concision, contribution recap, implications, and no-new-claim discipline."
ieee-conference-extension,core,ieee,0.5.0,skills/ieee-conference-extension,journal extension from conference papers.
ieee-conference-extension-delta,core,ieee,0.5.0,skills/ieee-conference-extension-delta,"conference-to-journal extension gap, overlap disclosure, new material, and contribution delta."
ieee-contribution-positioning,core,ieee,0.5.0,skills/ieee-contribution-positioning,"contribution statements, novelty claims, conference-extension delta, and reviewer-facing positioning."
ieee-copyright-license,core,ieee,0.5.0,skills/ieee-copyright-license,"copyright, license options, figure/table reuse permissions, and rights-risk audit."
ieee-cover-letter,core,ieee,0.5.0,skills/ieee-cover-letter,journal submission cover letter.
ieee-cover-letter-fit-statement,core,ieee,0.5.0,skills/ieee-cover-letter-fit-statement,"cover letter, scope fit statement, novelty framing, prior-publication disclosure, and editor-facing summary."
ieee-data-code-availability,core,ieee,0.5.0,skills/ieee-data-code-availability,"data/code availability, artifact links, reproducibility statements, repository hygiene, and license clarity."
ieee-dataset-protocol,core,ieee,0.5.0,skills/ieee-dataset-protocol,"dataset description, preprocessing, train/validation/test splits, leakage control, and benchmark protocol."
ieee-discussion,core,ieee,0.5.0,skills/ieee-discussion,"discussion section interpretation, implications, comparison to prior work, and evidence-bounded claims."
ieee-editorial-screening,core,ieee,0.5.0,skills/ieee-editorial-screening,"desk-rejection risk, scope fit, novelty, formatting, ethics, and completeness audit."
ieee-equation,core,ieee,0.5.0,skills/ieee-equation,"equation formatting, notation consistency, numbered equations, and mathematical readability."
ieee-ethics-limitations,core,ieee,0.5.0,skills/ieee-ethics-limitations,"limitations, responsible AI, dataset bias, human/medical/security risk, and dual-use disclosure prompts."
ieee-experiment-ablation,core,ieee,0.5.0,skills/ieee-experiment-ablation,"experimental design, baseline fairness, ablations, robustness, and failure analysis."
ieee-experimental-design,core,ieee,0.5.0,skills/ieee-experimental-design,"experiment plan, validation logic, dataset split, protocol, controls, and fairness of comparisons."
ieee-figure,core,ieee,0.5.0,skills/ieee-figure,"figures, panels, visual evidence, resolution/readability, accessibility, and text-reference order."
ieee-figure-table,core,ieee,0.5.0,skills/ieee-figure-table,"IEEE-style figures, tables, captions, and evidence layout."
ieee-final-production-files,core,ieee,0.5.0,skills/ieee-final-production-files,"accepted-paper final files, source files, graphics, tables, author photos, and production handoff."
ieee-funding-acknowledgment,core,ieee,0.5.0,skills/ieee-funding-acknowledgment,"funding statement, grant identifiers, sponsor role, and acknowledgment placement."
ieee-graphical-abstract,core,ieee,0.5.0,skills/ieee-graphical-abstract,"IEEE graphical abstracts when required or allowed, peer-review upload, visual summary, and policy compliance."
ieee-index-terms,core,ieee,0.5.0,skills/ieee-index-terms,"IEEE Index Terms selection, controlled terminology, and term consistency."
ieee-introduction,core,ieee,0.5.0,skills/ieee-introduction,"introduction framing, problem-gap-contribution logic, and audience fit."
ieee-introduction-related-work,core,ieee,0.5.0,skills/ieee-introduction-related-work,problem-gap-contribution framing and prior-work positioning.
ieee-journal-router,router,ieee,0.5.0,skills/ieee-journal-router,"detect target journals and route to the correct independent journal adapter while preserving publisher-family boundaries and official URL checks. Use for IEEE Transactions, Journals, Letters, and IEEE-style technical journal writing."
ieee-latex-source-package,core,ieee,0.5.0,skills/ieee-latex-source-package,"LaTeX source package, class/style files, BibTeX, figures, and compilation-risk audit."
ieee-latex-template-audit,core,ieee,0.5.0,skills/ieee-latex-template-audit,"IEEE template-readiness, source package hygiene, equations, captions, and references."
