name,short,scope
"ieee-access-writing","IEEE Access","multidisciplinary open-access IEEE articles with clear contribution, validation, and broad technical relevance"
"intelligent-transportation-systems-writing","IEEE Intelligent Transportation Systems","intelligent transportation, autonomous driving, traffic prediction, vehicle infrastructure systems"
"jbhi-writing","IEEE JBHI","biomedical and health informatics, clinical AI, digital health systems"
"pami-writing","TPAMI / PAMI","computer vision, pattern analysis, machine learning, recognition, representation learning"
"tac-writing","IEEE Transactions on Automatic Control","control theory, systems, stability, optimization, estimation, and rigorous proofs"
"tai-writing","IEEE Transactions on Artificial Intelligence","artificial intelligence methods, systems, learning algorithms, and applied AI validation"
"tase-writing","IEEE T-ASE","automation science, manufacturing systems, logistics, robotics for automation, decision/control systems"
"tcomm-writing","IEEE Transactions on Communications","communication theory, wireless systems, coding, networking, signal processing for communications"
"tcsvt-writing","IEEE TCSVT","video technology, image/video coding, multimedia systems, visual signal processing"
"tcyb-writing","IEEE Transactions on Cybernetics","cybernetics, computational intelligence, machine learning, control, human-machine systems"
"tgrs-writing","IEEE TGRS","geoscience and remote sensing, earth observation, hyperspectral/SAR/optical analysis"
"tifs-writing","IEEE TIFS","information forensics, security, privacy, biometrics, trustworthy media"
"tip-writing","IEEE TIP","image processing, restoration, enhancement, compression, analysis, computational imaging"
"tkde-writing","IEEE TKDE","data engineering, knowledge discovery, databases, graph mining, information retrieval"
"tmi-writing","IEEE TMI","medical imaging, image reconstruction, segmentation, diagnosis assistance, quantitative imaging"
"tmm-writing","IEEE TMM","multimedia analysis, multimodal learning, retrieval, generation, interaction"
"tnnls-writing","IEEE TNNLS","neural networks, learning systems, optimization, theory, adaptive systems"
"tpel-writing","IEEE TPEL","power electronics, converters, control, reliability, hardware experiments, and energy systems"
"tro-writing","IEEE Transactions on Robotics","robotics algorithms, perception, planning, control, manipulation, field validation"
"tsp-writing","IEEE TSP","signal processing theory, algorithms, estimation, detection, optimization"
"tvcg-writing","IEEE TVCG","visualization, visual analytics, graphics, VR/AR, human-centered visual computing"
"twc-writing","IEEE Transactions on Wireless Communications","wireless communication systems, MIMO, networks, resource allocation, 6G-related methods"
