asset_type,paper_id,title,journal,page,asset_path,caption,license,source_url,copyright_note
main_figure,tpami-2023-transformers-survey,Multimodal Learning With Transformers: A Survey,IEEE TPAMI,1,paper_templates/extracted_visual_assets/main_figures/tpami-2023-transformers-survey__p001__main_figure.png,Fig. 1. Overview of Transformer [2].,Creative Commons Attribution 4.0 (CC BY 4.0),https://eng.ox.ac.uk/media/ttrg2f51/2023-ieee-px.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
motivation_figure,tpami-2023-transformers-survey,Multimodal Learning With Transformers: A Survey,IEEE TPAMI,1,paper_templates/extracted_visual_assets/motivation_figures/tpami-2023-transformers-survey__p001__motivation_figure.png,"This survey focuses on multimodal learning with Transform- ers [2] (as demonstrated in Fig. 1), inspired by their intrinsic ad- vantages and scalability in modelling different modalities (e.g., language, visual, auditory) and tasks (e.g., language translation, image recognition, speech recognition) with fewer modality- speciﬁc architectural assumptions (e.g., translation invariance and local grid attention bias in vision) [3]. Concretely, the input to a Transformer could encompass one or multiple sequences of tokens, and each sequence’s attribute (e.g., the modality label, the sequential order), naturally allowing for MML with- out architectural modiﬁcation [4]. Further, learning per-modal speciﬁcity and inter-modal correlation can be simply realized by controlling the input pattern of self-attention. Critically, there is a recent surge of research attempts and activities across distinct disciplines exploring the Transformer architectures, resulting in a large number of novel MML methods being developed in recent years, along with signiﬁcant and diverse advances in various areas [4], [5], [6], [7], [8]. This calls for a timely review",Creative Commons Attribution 4.0 (CC BY 4.0),https://eng.ox.ac.uk/media/ttrg2f51/2023-ieee-px.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
beautiful_table,tpami-2023-transformers-survey,Multimodal Learning With Transformers: A Survey,IEEE TPAMI,9,paper_templates/extracted_visual_assets/beautiful_tables/tpami-2023-transformers-survey__p009__beautiful_table.png,"Pretext Tasks: In Transformer based multimodal pretrain- ing, the pretraining tasks/objectives are also termed pretext tasks/objectives. To date, various pretext tasks have been stud- ied, e.g., masked language modelling (MLM) [137], masked image region prediction/classiﬁcation (also termed masked object classiﬁcation (MOC)) [137], [190], masked region regression (MRR) [115], visual-linguistic matching (VLM) (e.g., image–text matching (ITM) [188], image text match- ing (ITM), phrase-region alignment (PRA) [204], word-region alignment (WRA) [106], video-subtitle matching (VSM) [116]), masked frame modelling (MFM) [116], frame order mod- elling (FOM) [116], next sentence prediction (NSP) [4], [102], [190], masked sentence generation (MSG) [191], masked group modelling (MGM) [188], preﬁx language modelling (Pre- ﬁxLM) [199], video conditioned masked language model [117], text conditioned masked frame model [117], visual transla- tion language modelling (VTLM) [206], and image-conditioned masked language modelling (also termed image-attended masked language modelling) [207]. These down-stream task -agnostic pretext pretraining is optional, and the down-stream task objectives can be trained directly, which will be discussed in Section IV-A2. Table III provides the common and representa- tive pretext tasks for Transformer based multimodal pretraining.",Creative Commons Attribution 4.0 (CC BY 4.0),https://eng.ox.ac.uk/media/ttrg2f51/2023-ieee-px.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
main_figure,tip-2022-see360,See360: Novel Panoramic View Interpolation,IEEE TIP,1,paper_templates/extracted_visual_assets/main_figures/tip-2022-see360__p001__main_figure.png,"(note that the most common setting of ﬁeld of view (FOV) for cameras is 55◦, which ensures that the input views will overlap). All occluded and missing scene parts in between are estimated by our method, while achieving smooth view transition. In addition, we can achieve view interpolation for 360◦panoramic videos/animations. Note that our proposed method is purely image-based view synthesis without requiring any knowledge of depth or 3D information, hence it is low cost on data requirement that common cameras can be used for view synthesis, but there might be spatial misalignment caused by the large moving objects, low scene overlapping or sudden scene changes. Figure 1 illustrates our method: we attach a single camera to a electronic tripod head (Figure 1(a)) which is able to automatically rotate the camera over the full 360◦range, to capture T sparse reference views and a dense set of S (S>T) intermediate views. For training, we place the camera at the",Creative Commons Attribution 4.0 (CC BY 4.0),https://ira.lib.polyu.edu.hk/bitstream/10397/96492/1/See360_Novel_Panoramic_View_Interpolation.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
motivation_figure,tip-2022-see360,See360: Novel Panoramic View Interpolation,IEEE TIP,2,paper_templates/extracted_visual_assets/motivation_figures/tip-2022-see360__p002__motivation_figure.png,"Fig. 1. (a) 360◦capture device. (b) The coordinates where we place the camera for data collection. Given reference views at 120◦and 180◦, our proposed See360 model can render views at different angles from left to right. (c) Novel views comparison (include our prediction, ground truth and residues between them) and (d) Segmentation results comparison. The view changes from the left and right references can be observed from the buildings and trees.",Creative Commons Attribution 4.0 (CC BY 4.0),https://ira.lib.polyu.edu.hk/bitstream/10397/96492/1/See360_Novel_Panoramic_View_Interpolation.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
beautiful_table,tip-2022-see360,See360: Novel Panoramic View Interpolation,IEEE TIP,9,paper_templates/extracted_visual_assets/beautiful_tables/tip-2022-see360__p009__beautiful_table.png,"Afﬁne Transformer (MSAT) and 3) multi-scale style discrim- inator with or without semantic segmentation (SS). To make a comparison, we refer to these three situations to as CPC, MSAT and SS. In Table II, we compute the evaluation metrics PSNR, SSIM and LPIPS on each dataset, to quantitatively measure the importance of their effects. In Table II, “Full Pipeline” is the our complete See360 model. To test the three key components, we successively removed the key components from the full pipeline to train the model. We can ﬁnd that the most important component is the use of Multi-Scale Afﬁne Transformer (MSAT). The reason is that we can reconstruct the scene from coarse to ﬁne to ﬁll the details at different scales. Meanwhile, the proposed MSAT adaptively estimates different 2D afﬁne parameters for features at different scales to fuse the reference views. Similar to “CPC”, we use it to extract the global feature correspondence. It can also improve the performance by about 0.3 dB and 0.01 in terms of PSNR and SSIM, respectively. For “SS”, we consider it as an extra constraint on the image generation. As discussed in Equation 8, using semantic segmentation as layout information (the contour of the whole scene) and combining it with generated images, the discriminator can learn to distinguish whether the generated image has similar structural information as ground truth. In Table III, we did another ablation study using dif- ferent losses introduced in Section III-C. The key losses we discussed include Laplacian loss (lap loss), Projection Distribution loss (pd loss) and VGG feature loss (VGG loss). See360— indicates models using different combinations of losses and See360 indicates the best model that makes use of all three losses. We measured PSNR, SSIM and LPIPS on UrbanCity360 dataset. It can be found that using lap loss improves the SSIM because it computes structural similarity of images using the differences of Gaussians. Using pd loss and VGG loss improves the LPIPS but affects PSNR and SSIM scores because of the trade-off effect between pixel distortion and visual quality [66]. Combining all three loss terms, See360 achieves the best LPIPS as well as the second best PSNR and SSIM, which indicates that our proposed See360 can well synthesize photo-realistic novel views.",Creative Commons Attribution 4.0 (CC BY 4.0),https://ira.lib.polyu.edu.hk/bitstream/10397/96492/1/See360_Novel_Panoramic_View_Interpolation.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
main_figure,tmi-2020-lesion-localization,Iterative Augmentation of Visual Evidence for Weakly Supervised Lesion Localization in Deep Interpretability Frameworks: Application to Color Fundus Images,IEEE TMI,4,paper_templates/extracted_visual_assets/main_figures/tmi-2020-lesion-localization__p004__main_figure.png,"Fig. 1. Overview of the proposed method applied to automated grading of diabetic retinopathy in color fundus images. The workﬂow to generate the original prediction is depicted in green; the workﬂow for the proposed iterative visual evidence augmentation is depicted in blue. I, input image; Fcnn, convolutional neural network; ˆy, prediction; thpred, prediction threshold; t, number of iteration; T, maximum number of iterations; A, attribution method; Mt, explanation map at iteration t; Bt, binary mask at iteration t; It, inpainted image at iteration t; M, augmented explanation map.",Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/68020849/Iterative_Augmentation_of_Visual_Evidence_for_Weakly_Supervised_Lesion_Localization_in_Deep_Interpretability_Frameworks_Application_to_Color_Fundus_Images.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
motivation_figure,tmi-2020-lesion-localization,Iterative Augmentation of Visual Evidence for Weakly Supervised Lesion Localization in Deep Interpretability Frameworks: Application to Color Fundus Images,IEEE TMI,4,paper_templates/extracted_visual_assets/motivation_figures/tmi-2020-lesion-localization__p004__motivation_figure.png,"The ﬁrst part of this section describes the proposed iterative visual evidence augmentation, depicted in Fig. 1. The proposed method iteratively unveils areas relevant for a ﬁnal diagnosis, so as to generate exhaustive visual evidence of classiﬁca- tion predictions and, consequently, weakly-supervised lesion- level localization. The second part of the section describes the image-level classiﬁcation used to provide the DL-based decisions to be interpreted.",Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/68020849/Iterative_Augmentation_of_Visual_Evidence_for_Weakly_Supervised_Lesion_Localization_in_Deep_Interpretability_Frameworks_Application_to_Color_Fundus_Images.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
beautiful_table,tmi-2020-lesion-localization,Iterative Augmentation of Visual Evidence for Weakly Supervised Lesion Localization in Deep Interpretability Frameworks: Application to Color Fundus Images,IEEE TMI,2,paper_templates/extracted_visual_assets/beautiful_tables/tmi-2020-lesion-localization__p002__beautiful_table.png,"I. INTRODUCTION D EEP learning (DL) systems in medical imaging have shown to provide high-performing approaches for diverse classiﬁcation tasks in healthcare, such as screening of eye diseases [1], [2], scoring of prostate cancer [3], or detection of skin cancer [4]. Nevertheless, DL systems are often referred to as “black boxes” due to the lack of interpretability of their predictions. This is problematic in healthcare applications [5], [6], and hinders experts’ trust and the integration of these systems in clinical settings as support for grading, diagnosis and treatment decisions. There is thus an increasing demand for interpretable systems in medical imaging that could further explain models’ decisions. Deﬁning an inter- pretability framework as the combination of a DL system to perform a classiﬁcation task and a procedure for gener- ating explainable predictions, several such frameworks have been proposed in different medical applications and imaging modalities [4], [7]–[17]. Among the integrated procedures, those based on visual attribution have become very popular, such as the ones deﬁned and described in Table I: saliency [18], guided backpropa- gation [19], integrated gradients [20], Grad-CAM [21], and guided Grad-CAM [21]. These attribution methods provide an interpretation of the network’s decision by assigning an attribution value, sometimes also called “relevance” or “contri- bution”, to each input feature of the network depending on its estimated contribution to the network output [22]. This allows to highlight features in the input image that contribute to the output prediction and, consequently, the weakly-supervised detection of objects. However, it has been shown for natural",Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/68020849/Iterative_Augmentation_of_Visual_Evidence_for_Weakly_Supervised_Lesion_Localization_in_Deep_Interpretability_Frameworks_Application_to_Color_Fundus_Images.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
main_figure,tnnls-2023-sparce,SpaRCe: Improved Learning of Reservoir Computing Systems Through Sparse Representations,IEEE TNNLS,4,paper_templates/extracted_visual_assets/main_figures/tnnls-2023-sparce__p004__main_figure.png,"exploit the dynamics of the ESNs, instead of using its activities at one step only, is particularly useful for classiﬁcation tasks. Previous works have introduced different techniques to deﬁne a ˜V vector from the ESN’s dynamic: adopting PCA on the multidimensional response of the reservoir across time [36], introducing a learnable temporal kernel to deﬁne the read- out [40], or concatenating the past activities of the reservoir to deﬁne a higher dimensional vector ˜V [39], [41]. In this work, we will exploit the latter approach, while other tech- niques, such as PCA, which reduces the dimensionality of the ESN’s representation, are more desirable in the case of overﬁtting. In this regard, while the most spontaneous choice for time-series prediction would be ˜V = V(t), corresponding to the activity of the reservoir at the current time, it is also possible to expand the dimensionality of the system by including previous reservoir representations at times tl and deﬁning a vector ˜V = C({V(tl)}tlεT ), where C denotes the concatenation operator and T denotes the ensemble of time steps tl considered. This latter approach has been adopted also in physical reservoir models through the use of virtual nodes [42], [43]. Of course, such dimensionality expansion leads to an artiﬁcial increase of the memory of the system. However, the concatenation of previous activities does not guarantee the understanding of the dependencies among events that are distant in time because the memory of a past input signal could have faded away when a new stimulus s(t) comes. A scheme of this procedure for time-series classiﬁcation can be found in Fig. 1(a).",Creative Commons Attribution 4.0 (CC BY 4.0),https://eprints.whiterose.ac.uk/id/eprint/241349/1/SpaRCe_Improved_Learning_of_Reservoir_Computing_Systems_Through_Sparse_Representations.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
