asset_type,paper_id,title,journal,page,asset_path,caption,license,source_url,copyright_note
main_figure,pr-2024-linear-transportation-lp-distance,A linear transportation Lp distance for pattern recognition,Pattern Recognition,7,paper_templates/extracted_visual_assets/main_figures/pr-2024-linear-transportation-lp-distance__p007__main_figure.png,"distance was on the order of magnitude of ten’s of seconds, whilst the full TL𝑝took several hours. Fig. 1 demonstrates that our proposed LTL𝑝",Creative Commons Attribution 4.0 (CC BY 4.0),https://wrap.warwick.ac.uk/id/eprint/185436/13/1-s2.0-S003132032300777X-main.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
motivation_figure,pr-2024-linear-transportation-lp-distance,A linear transportation Lp distance for pattern recognition,Pattern Recognition,8,paper_templates/extracted_visual_assets/motivation_figures/pr-2024-linear-transportation-lp-distance__p008__motivation_figure.png,"Fig. 1. (A) Distributions of macro-F1 scores for different transportation methods. Evidently LTL𝑝significantly outperforms LW𝑝. (B) An example a multi-variate signal 𝑓𝑖∶{𝑡1, … , 𝑡44} →R22 from the Auslan dataset. Each curve represents one of the 22 sensors. We see that the informative part of the signal is before the 20th time frame.",Creative Commons Attribution 4.0 (CC BY 4.0),https://wrap.warwick.ac.uk/id/eprint/185436/13/1-s2.0-S003132032300777X-main.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
beautiful_table,pr-2024-linear-transportation-lp-distance,A linear transportation Lp distance for pattern recognition,Pattern Recognition,7,paper_templates/extracted_visual_assets/beautiful_tables/pr-2024-linear-transportation-lp-distance__p007__beautiful_table.png,"From Table 1 we see that the computational cost of the LTL𝑝and LW𝑝distances differs significantly more than might be expected. This is due to the LTL𝑝distance converging more quickly, requiring on an average of 10 (up to a maximum of 100) iterations compared to an average of 100 (up to a maximum of 200) iterations for LW𝑝in our Sinkhorn implementation. The TL𝑝distance was not included as a comparison as it was too expensive to compute.",Creative Commons Attribution 4.0 (CC BY 4.0),https://wrap.warwick.ac.uk/id/eprint/185436/13/1-s2.0-S003132032300777X-main.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
main_figure,prl-2023-too-good-prior,A too-good-to-be-true prior to reduce shortcut reliance,Pattern Recognition Letters,2,paper_templates/extracted_visual_assets/main_figures/prl-2023-too-good-prior__p002__main_figure.png,"Fig. 1. The standard and too-good-to-be-true prior approaches to learning. (A) In the standard approach, a single high-capacity network (HCN) is trained and is susceptible to shortcuts, in this case relying on color as opposed to shape. Such a network will generalize well to i.i.d. test items but fail on o.o.d. test items (the last item for each class; shown in red). (B) In contrast, implementing the too-good-to-be true prior by pairing a low-capacity network (LCN) with an HCN leads to successful i.i.d. and o.o.d. generalization. Items that the LCN can master, which may contain shortcuts, are downweighted when the HCN is trained, which should reduce shortcut reliance and promote use of more complex and invariant features by the HCN. (For interpretation of the references to colour in this ﬁgure legend, the reader is referred to the web version of this article.)",Creative Commons Attribution 4.0 (CC BY 4.0),https://juser.fz-juelich.de/record/1024830/files/1-s2.0-S0167865522003841-main-1.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
motivation_figure,prl-2023-too-good-prior,A too-good-to-be-true prior to reduce shortcut reliance,Pattern Recognition Letters,2,paper_templates/extracted_visual_assets/motivation_figures/prl-2023-too-good-prior__p002__motivation_figure.png,"where shortcut features are distributed identically to the training set (i.i.d.), but fail dramatically on o.o.d. test sets where shortcuts are missing or misleading [32] . Shortcuts can adversely affect generalization even when they are not perfectly predictive. Because shortcuts are easily learned by DCNNs, they can be misleading even in the presence of more reliable but complex features [20] . To illustrate, shape may be per- fectly predictive of class membership but networks may rely on color or other easily accessed features like texture [5,11] when tested on novel cases (see Fig. 1 A). Although what is and is not a shortcut cannot be known with perfect conﬁdence, all shortcuts are simple. We ﬁnd it unlikely that diﬃcult learning problems will have trivial solutions when they have not been fully solved by brains with billions of neurons shaped by millions of years of natural selection nor by engineers working diligently for decades. Based on this observation, we are skeptical of very simple solutions to complex problems and believe they will have poor o.o.d. generalization. This inductive bias, which we refer to as the “too-good-to-be-true prior”, can be incorporated into the training of DCNNs to reduce shortcut reliance and promote",Creative Commons Attribution 4.0 (CC BY 4.0),https://juser.fz-juelich.de/record/1024830/files/1-s2.0-S0167865522003841-main-1.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
beautiful_table,prl-2023-too-good-prior,A too-good-to-be-true prior to reduce shortcut reliance,Pattern Recognition Letters,3,paper_templates/extracted_visual_assets/beautiful_tables/prl-2023-too-good-prior__p003__beautiful_table.png,"Shortcut learning and robust generalization. Multiple ap- proaches have been suggested for preventing shortcut reliance and increasing generalization robustness in deep neural networks [9] . We succinctly summarize eleven studies which we ﬁnd most rel- evant to our work in Table 1 , using two criteria: whether an ap- proach (1) assumes that simple solutions are probably shortcuts and (2) requires a priori knowledge of the shortcut. We also spec- ify the task domains considered. In contrast to Nam et al. [31] , we use an LCN, not a full-capacity target model, to identify shortcuts and train the LCN separately from the target HCN. In comparison to Clark et al. [8] , our ap- proach is less demanding computationally and, again, the LCN and HCN are trained separately. We demonstrate that, in our partic- ular implementation of the too-good-to-be-true prior, the limited capacity of a secondary model plays a key role, thus complement- ing the results of Sanh et al. [34] . We also extend the ﬁndings of Sanh et al., who introduced a similar de-biasing approach in the language domain, to the domain of image recognition. In contrast to all of the aforementioned studies, we show that an LCN can be employed to detect the presence of shortcuts in a dataset. Further, we empirically examine the relationship between the diﬃculty of a classiﬁcation problem and the effectiveness of shortcut-avoiding training via our two-stage LCN-HCN procedure. Huang et al. [21] suggested a heuristic, Representation Self- Challenging (RSC), to improve o.o.d. generalization in image recog- nition. This method impedes predicting class from features most correlated with it and thus encourages a DCNN to rely on more complex combinations of features. RSC, however, is not directly de- signed to prevent shortcut learning but rather attempts to expand the set of features learned. Sample weighting. Re-weighting of data samples is a well- known approach to guiding the training of DCNNs and machine learning models in general, and corresponding methods differ in terms of which examples must be downweighted/emphasized. Some authors suggested to mitigate the impact of easy examples and focus on hard ones [28,36] . In contrast, in other research direc- tions, such as curriculum learning [3,14,41] and self-paced learning [25,29] , it is recommended to stress easy examples early in train- ing. It was also shown that the self-paced and curriculum learning can be combined [22] .",Creative Commons Attribution 4.0 (CC BY 4.0),https://juser.fz-juelich.de/record/1024830/files/1-s2.0-S0167865522003841-main-1.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
main_figure,eswa-2024-knowledge-based-ai,Enhancing vessel arrival time prediction: A fusion-based deep learning approach,Expert Systems With Applications,5,paper_templates/extracted_visual_assets/main_figures/eswa-2024-knowledge-based-ai__p005__main_figure.png,"In this study, we aim to present a DLBM to predict vessel arrival time. To achieve this, we primarily use the Design Science methodology to design and develop our method VATP (Hevner et al., 2004; Peffers et al., 2007). Design Science research methodology (Hevner et al., 2004; Peffers et al., 2007) is a research approach focused on creating practical solutions for real-world problems. It involves the creation of a viable artefact in the form of a model or a method, rigorously evaluating its effectiveness, and communicating the findings. Key principles include problem relevance, rigorous research methods, and clear contributions to design theory and practice (Hevner et al., 2004). By applying the Design Science research methodology to our research goal, we arrive at the following steps, and each step is described in detail in the corre­ sponding section. We first present the VATP and then introduce the applied techniques. The important phases of data analytics are then connected to create a more precise forecasting method. These phases are Data pre-processing, Feature extraction, CNN, LSTM, Attention mecha­ nism, Dropout, and Fully connected/dense layers. We also evaluated the performance, robustness, and effectiveness of the VATP method using RMSR and MAPE. Subsequently, we describe the data collection, data processing, dataset resources, and the required pre-processing steps. We use four data sources in the experiment along with feature fusion for performance optimization. We also investigate the potential of various DLBM and TMLBM methods to predict the arrival time of the vessel. We then not only present and discuss the outcomes of this study, but also compare the performance of VATP with the existing proposed systems. The entire VATP system is presented in Fig. 6. We first present our input dataset and then we discuss how one can create an effective deep neural network for predicting arrival time.",Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/204160450/1-s2.0-S0957417424008546-main.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
motivation_figure,eswa-2024-knowledge-based-ai,Enhancing vessel arrival time prediction: A fusion-based deep learning approach,Expert Systems With Applications,5,paper_templates/extracted_visual_assets/motivation_figures/eswa-2024-knowledge-based-ai__p005__motivation_figure.png,"sea information. By incorporating this information, we aim to enhance the transparency and applicability of our findings. The linked ships in this dataset (e.g., Container Ships and Tankers) represent a typical se­ lection commonly observed during maritime operations at a particular port (e.g., Rotterdam and Amsterdam). We employed common identi­ fiers to link and collect corresponding information from multiple data­ sets. For example, we used the Global Positioning System (GPS) coordinates and timestamps as shared identifiers to collect data on sea conditions and weather at specific points or positions. Furthermore, we used vessel identification numbers (ship ID) to link AIS data with vessel information. Through linking these datasets using common identifiers, we successfully integrated the relevant information. The Automatic Identification System (AIS) — is a safety system of navigation and maritime traffic enforced by the International Maritime Organization (IMO). All vessels with a gross tonnage greater than 300 are obliged to have an AIS system. The AIS information can be used for various vital applications, such as vessel monitoring, maritime surveil­ lance, security, rescue, traffic management, and collision avoidance (Sampath, 2012). Fig. 1 presents the factors influencing the arrival time of a ship. It also shows various subfigures (including sea information, weather information, ship details, and AIS data) that provide an overview of these interconnected elements and their impact on ship arrival. The sea information (e.g., details on sea currents) aids in understanding the challenges ships may face during their journey. The weather information shows meteorological data (e.g., wind speed) for assessing the impact of weather on ship performance and arrival time. The ship information offers insights into vessel information (e.g., size, type). Finally, the AIS data provide real-time ship information (e.g., positions, speed) that en­ ables the assessment of navigational efficiency and potential delays. Fig. 1 provides an overview of the various factors contributing to ship arrival time, facilitating analysis and decision-making processes for optimal planning and management. As shown in Fig. 2, during a voyage, each ship emits thousands of signals at periodic intervals, which are then received by satellites, ground stations, and other ships. The AIS dataset includes various in­ formation that can be categorized into dynamic information (e.g., speed, course, and position) and static information (e.g., ship name, MMSI, ship type). Table 1 presents the fields of the AIS dataset as well as the cor­ responding explanation of each field. Vessel information — We also derived vessel information from the aforementioned websites (Fig. 3) using IMO or MMSI. This information can be considered complementary to the AIS dataset. As presented in Table 2, the information includes the IMO, MMSI, Vessel Type, Status, Gross Tonnage, Deadweight tonnage, ship’s length, and Breadth. Status is used to check whether the vessel still is active or not. Weather and Sea information — We also use marine weather infor­ mation to enhance the vessel arrival time forecasting performance. As AIS data does not provide marine weather information, it is required to get marine weather information. ERDDAP (Fig. 4) provides meteoro­ logical data, which enables users to access data based on the date, latitude, longitude, and other factors. A sample of weather information that is shown in Table 3 includes temperature, precipitation (e.g., rainfall and snowfall), sky conditions (e.g., visibility, wind speed), significant wave height, wave direction, wind direction, wave period in seconds (the time between two peaks of a wave at the same point in space), etc. Augmented information — indicates invariant features (such as length, width, and vessel type) and new features (NF) created using one or more existing variables (we utilized the AIS dataset). As can be seen from the above datasets, apart from Vessel Information all other datasets are essentially time series. There is not much guidance on how one can create a deep learning model with such different input datasets with features varying in both space and time. In the following section, we will describe our approach to creating VATP.",Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/204160450/1-s2.0-S0957417424008546-main.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
beautiful_table,eswa-2024-knowledge-based-ai,Enhancing vessel arrival time prediction: A fusion-based deep learning approach,Expert Systems With Applications,5,paper_templates/extracted_visual_assets/beautiful_tables/eswa-2024-knowledge-based-ai__p005__beautiful_table.png,"sea information. By incorporating this information, we aim to enhance the transparency and applicability of our findings. The linked ships in this dataset (e.g., Container Ships and Tankers) represent a typical se­ lection commonly observed during maritime operations at a particular port (e.g., Rotterdam and Amsterdam). We employed common identi­ fiers to link and collect corresponding information from multiple data­ sets. For example, we used the Global Positioning System (GPS) coordinates and timestamps as shared identifiers to collect data on sea conditions and weather at specific points or positions. Furthermore, we used vessel identification numbers (ship ID) to link AIS data with vessel information. Through linking these datasets using common identifiers, we successfully integrated the relevant information. The Automatic Identification System (AIS) — is a safety system of navigation and maritime traffic enforced by the International Maritime Organization (IMO). All vessels with a gross tonnage greater than 300 are obliged to have an AIS system. The AIS information can be used for various vital applications, such as vessel monitoring, maritime surveil­ lance, security, rescue, traffic management, and collision avoidance (Sampath, 2012). Fig. 1 presents the factors influencing the arrival time of a ship. It also shows various subfigures (including sea information, weather information, ship details, and AIS data) that provide an overview of these interconnected elements and their impact on ship arrival. The sea information (e.g., details on sea currents) aids in understanding the challenges ships may face during their journey. The weather information shows meteorological data (e.g., wind speed) for assessing the impact of weather on ship performance and arrival time. The ship information offers insights into vessel information (e.g., size, type). Finally, the AIS data provide real-time ship information (e.g., positions, speed) that en­ ables the assessment of navigational efficiency and potential delays. Fig. 1 provides an overview of the various factors contributing to ship arrival time, facilitating analysis and decision-making processes for optimal planning and management. As shown in Fig. 2, during a voyage, each ship emits thousands of signals at periodic intervals, which are then received by satellites, ground stations, and other ships. The AIS dataset includes various in­ formation that can be categorized into dynamic information (e.g., speed, course, and position) and static information (e.g., ship name, MMSI, ship type). Table 1 presents the fields of the AIS dataset as well as the cor­ responding explanation of each field. Vessel information — We also derived vessel information from the aforementioned websites (Fig. 3) using IMO or MMSI. This information can be considered complementary to the AIS dataset. As presented in Table 2, the information includes the IMO, MMSI, Vessel Type, Status, Gross Tonnage, Deadweight tonnage, ship’s length, and Breadth. Status is used to check whether the vessel still is active or not. Weather and Sea information — We also use marine weather infor­ mation to enhance the vessel arrival time forecasting performance. As AIS data does not provide marine weather information, it is required to get marine weather information. ERDDAP (Fig. 4) provides meteoro­ logical data, which enables users to access data based on the date, latitude, longitude, and other factors. A sample of weather information that is shown in Table 3 includes temperature, precipitation (e.g., rainfall and snowfall), sky conditions (e.g., visibility, wind speed), significant wave height, wave direction, wind direction, wave period in seconds (the time between two peaks of a wave at the same point in space), etc. Augmented information — indicates invariant features (such as length, width, and vessel type) and new features (NF) created using one or more existing variables (we utilized the AIS dataset). As can be seen from the above datasets, apart from Vessel Information all other datasets are essentially time series. There is not much guidance on how one can create a deep learning model with such different input datasets with features varying in both space and time. In the following section, we will describe our approach to creating VATP.",Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/204160450/1-s2.0-S0957417424008546-main.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
main_figure,neurocomputing-2024-xai-cybersecurity,Advanced insights through systematic analysis: Mapping future research directions and opportunities for xAI in deep learning and artificial intelligence used in cybersecurity,Neurocomputing,2,paper_templates/extracted_visual_assets/main_figures/neurocomputing-2024-xai-cybersecurity__p002__main_figure.png,Fig. 1. The main concept behind explainable AI (xAI).,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.starlight-h2020.eu/sites/default/files/2024-05/Advanced%20insights%20through%20systematic%20analysis.pdf,Open-access structural analysis asset. Do not reuse or republish figure/table content without checking the source license and attribution requirements.
