name,kind,family,version,path,scope
applied-soft-computing-writing,journal-adapter,elsevier,0.5.0,skills/applied-soft-computing-writing,"fuzzy systems, evolutionary computation, neural/soft-computing applications."
artificial-intelligence-medicine-writing,journal-adapter,elsevier,0.5.0,skills/artificial-intelligence-medicine-writing,"AI methods for medical decision support, clinical data, diagnostic/prognostic modeling, and interpretability."
artificial-intelligence-writing,journal-adapter,elsevier,0.5.0,skills/artificial-intelligence-writing,"foundational AI, reasoning, planning, learning, agents."
biomedical-signal-processing-control-writing,journal-adapter,elsevier,0.5.0,skills/biomedical-signal-processing-control-writing,"biomedical signal analysis, control, sensors, physiological signals, and clinical engineering validation."
cmpb-writing,journal-adapter,elsevier,0.5.0,skills/cmpb-writing,"biomedical software, methods, computational systems, validation, and reproducible implementations."
computer-speech-language-writing,journal-adapter,elsevier,0.5.0,skills/computer-speech-language-writing,"speech processing, NLP, language technology, dialogue, ASR/TTS, and linguistic evaluation."
computers-biology-medicine-writing,journal-adapter,elsevier,0.5.0,skills/computers-biology-medicine-writing,"computational methods for biology, medicine, diagnostics, biomedical data, and translational validation."
cviu-writing,journal-adapter,elsevier,0.5.0,skills/cviu-writing,"computer vision, image understanding, scene analysis, perception systems."
data-knowledge-engineering-writing,journal-adapter,elsevier,0.5.0,skills/data-knowledge-engineering-writing,"data management, knowledge representation, databases, reasoning, information systems, and semantic methods."
decision-support-systems-writing,journal-adapter,elsevier,0.5.0,skills/decision-support-systems-writing,"decision analytics, intelligent decision systems, recommender/optimization support, and organizational value."
eaai-writing,journal-adapter,elsevier,0.5.0,skills/eaai-writing,"AI methods with engineering application value, validation, deployment constraints, and practical impact."
elsevier-ablation-study,core,elsevier,0.5.0,skills/elsevier-ablation-study,"ablation design, component-level evidence, sensitivity analysis, and mechanism validation."
elsevier-abstract,core,elsevier,0.5.0,skills/elsevier-abstract,"abstract drafting, compression, claim discipline, and contribution evidence alignment."
elsevier-abstract-keywords,core,elsevier,0.5.0,skills/elsevier-abstract-keywords,"abstract, keywords, contribution compression, and discoverability for Elsevier submissions."
elsevier-ai-disclosure-integrity,core,elsevier,0.5.0,skills/elsevier-ai-disclosure-integrity,"AI-assisted writing transparency, originality, citation integrity, and author-responsibility reminders."
elsevier-algorithm-pseudocode,core,elsevier,0.5.0,skills/elsevier-algorithm-pseudocode,"algorithm boxes, pseudocode, complexity notes, and stepwise method communication."
elsevier-appendix,core,elsevier,0.5.0,skills/elsevier-appendix,"appendices, extended derivations, extra tables, and material that should not interrupt the main paper."
elsevier-author-agreement,core,elsevier,0.5.0,skills/elsevier-author-agreement,"publishing agreement readiness, author rights reminders, copyright form/license route, and post-acceptance decisions."
elsevier-author-contribution,core,elsevier,0.5.0,skills/elsevier-author-contribution,"author contribution statements, accountability, approval, and corresponding-author coordination."
elsevier-baseline-selection,core,elsevier,0.5.0,skills/elsevier-baseline-selection,"baseline choice, reimplementation fairness, hyperparameter disclosure, and comparison scope."
elsevier-caption,core,elsevier,0.5.0,skills/elsevier-caption,"figure and table captions, legends, abbreviation expansion, symbol explanation, and standalone interpretability."
